fid,plot_number,grvi_count,grvi_sum,grvi_mean,grvi_stdev,grvi_min,grvi_max
"1","101",189,1301.74874806404,6.88755951356636,1.79021434787115,2.029292345047,8.90675449371338
"2","201",189,1207.25018453598,6.38756711394698,0.893439585928294,3.95711088180542,7.93312788009644
"3","301",192,993.456604957581,5.17425315082073,1.28233168470147,2.47564125061035,7.54544401168823
"4","401",195,1033.77123212814,5.30139093399048,1.02122434255446,2.80029439926147,7.19358730316162
"5","501",199,1060.09211707115,5.32709606568418,1.29428778777296,2.12511801719666,7.2564435005188
"6","601",199,1053.76038551331,5.29527831916234,1.58876677001545,2.51635694503784,8.19779205322266
"7","701",198,1267.98779249191,6.40397874995916,1.60677249571329,2.39988374710083,8.87466907501221
"8","801",199,1572.99035072327,7.90447412423752,0.940745237667798,5.30983066558838,9.55048370361328
"9","901",199,1504.06039857864,7.55809245516906,1.24257530220546,3.85150671005249,10.0471000671387
"10","1001",200,1438.63921284676,7.19319606423378,1.38766506022838,2.81746745109558,9.51325225830078
"11","1101",195,1366.55457806587,7.0079721952096,1.5503093584853,2.38968992233276,9.57424163818359
"12","1201",191,1370.05451250076,7.1730602748731,1.77577764208047,2.17209839820862,10.0039529800415
"13","1301",189,1346.75877666473,7.12570781304092,1.74881015167228,2.14072966575623,9.64490985870361
"14","1401",189,1332.0760781765,7.04802157765343,1.73863710331046,2.19919967651367,9.81583023071289
"15","1501",189,1280.58767342567,6.7755961556914,1.39565834964004,2.34607243537903,9.31730461120605
"16","1601",189,1261.45867872238,6.67438454350466,1.49858371223469,2.32022881507874,9.16872882843018
"17","1701",189,1341.51826119423,7.09798021795888,1.41330005751839,2.80450701713562,9.09051132202148
"18","1801",189,1244.76182246208,6.58604138868826,1.37569346453235,2.96544861793518,9.25392246246338
"19","1901",190,1359.11769533157,7.15325102806091,1.40954266465319,2.67699694633484,9.00204277038574
"20","2001",193,703.21873152256,3.64362037058321,1.35087177262037,1.8111743927002,6.24108600616455
"21","102",197,1438.77502083778,7.30342650171464,1.40464407996469,2.62240290641785,8.94404125213623
"22","202",199,1726.43055462837,8.6755304252682,1.30468369497025,2.70105695724487,10.0657987594604
"23","302",198,1677.67498826981,8.47310600136266,1.20194367138915,2.40712714195251,9.81561946868896
"24","402",199,1598.42609858513,8.03229195268909,1.64479279086299,2.20432305335999,10.4923305511475
"25","502",198,1645.29105305672,8.30955077301372,1.19669626147502,3.00723171234131,9.92050743103027
"26","602",198,1817.34463357925,9.17850825040027,1.3751043960444,3.61360716819763,11.2361078262329
"27","702",197,1883.74825024605,9.56217385911699,1.32050081324874,3.0900354385376,10.9619464874268
"28","802",193,1602.896682024,8.30516415556478,1.26322895691234,2.9853048324585,10.0933418273926
"29","902",191,1653.11699652672,8.65506280904041,1.37120972073446,2.6475465297699,10.4023923873901
"30","1002",190,1707.2297539711,8.98541975774263,1.73157553479833,2.55903244018555,11.4121217727661
"31","1102",190,1616.68189239502,8.50885206523695,1.80616724414339,2.42572546005249,10.9560232162476
"32","1202",189,1586.34045910835,8.39333576247806,1.73022960865855,2.51549506187439,10.7786903381348
"33","1302",189,1629.77967333794,8.6231728748039,1.57823808466551,2.59709882736206,10.4241380691528
"34","1402",189,1723.00188374519,9.1164120833079,1.80176117581056,2.81584978103638,11.2738618850708
"35","1502",189,1574.14686822891,8.32881940861858,1.74309738395817,2.41058230400085,10.9668102264404
"36","1602",192,1495.29329228401,7.78798589731256,1.81183791267582,2.49551439285278,11.7798099517822
"37","1702",195,1501.10090613365,7.69795336478796,1.45187219517785,2.76341795921326,9.99810695648193
"38","1802",199,1594.38763380051,8.01199815980154,1.51643647632914,2.58644342422485,10.1416606903076
"39","1902",198,1597.3900604248,8.06762656780204,1.36314846494086,2.68375205993652,9.85093688964844
"40","2002",199,1006.82598483562,5.0594270594755,1.37918833926596,1.96927535533905,7.33281517028809
"41","103",199,1624.61833000183,8.16391120603935,1.17979121166612,3.25102686882019,9.65513706207275
"42","203",198,1825.02034664154,9.21727447798758,1.22254986836212,4.35449266433716,11.3284778594971
"43","303",198,1626.19432544708,8.21310265377314,1.16208336398394,5.92025375366211,10.820538520813
"44","403",194,1730.75450658798,8.92141498241228,1.14688778711494,4.30955362319946,10.7004013061523
"45","503",191,1636.41460561752,8.5676157362174,1.07633884719914,4.02876901626587,10.2547807693481
"46","603",189,1678.83650350571,8.88273282278152,1.22788314213379,3.583327293396,10.861762046814
"47","703",189,1818.77320146561,9.62313863209316,0.98654683539832,5.46610546112061,11.0685348510742
"48","803",189,1744.77295732498,9.23160294880943,0.924972407883476,4.78625869750977,10.895435333252
"49","903",189,1684.86727905273,8.91464168810971,1.0270825713644,4.79311561584473,10.8544445037842
